Категория;URL товара;Бренд;Путь;Фото основные;Фото дополнительные;Применение HTML;Номер заказа;Мат. основы;A;B;C;D;E;Наличие, шт;Цена, руб. с НДС;D1;L;L1;L2;SW;Допустимая нагрузка макс. (только при статической нагрузке), кг;Форма;D2;SW1;Ø шарика;L3;Подходящий дисковый захват;D3;Материал комп.;G;F;Материал;L5;L4;Исполнение;D4;H1;H2;T1;Подходит для штифта DIN 6332;Подходит для нажимного винта;H;H3;S;F макс., кг;S макс.;Z2;Размер;Количество зубьев;A1;H4;X;T;Цвет комп.;T2;Крепежная сила, кг;Термостойкость макс., °C;H5;P;W;P1;Описание
K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/catalog/vinty_nazhimnye/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/upload/iblock/96a/k0389_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/079/k0389_vinty_ustanovka.jpg;https://alterv.ru/upload/iblock/1d5/Z07119.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/gorizontalnye_prizhimy/k0660_prizhimy_mekhanicheskie_s_gorizontalnym_osnovaniem/"">K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</a></li>
</ul>";K0389.110X419;;;;;M10;;Под заказ;527,65;6,5;41,9;;;5;;;;;;;;;Делрин;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem_table_1.png"" style=""width: 444px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты подходят для:</span></h2>
<ul>
	<li>K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</li>
</ul></span>"
K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/catalog/vinty_nazhimnye/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/upload/iblock/96a/k0389_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/079/k0389_vinty_ustanovka.jpg;https://alterv.ru/upload/iblock/1d5/Z07119.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/gorizontalnye_prizhimy/k0660_prizhimy_mekhanicheskie_s_gorizontalnym_osnovaniem/"">K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</a></li>
</ul>";K0389.110X519;;;;;M10;;Под заказ;800,72;6,5;51,9;;;5;;;;;;;;;Делрин;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem_table_1.png"" style=""width: 444px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты подходят для:</span></h2>
<ul>
	<li>K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</li>
</ul></span>"
K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/catalog/vinty_nazhimnye/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/upload/iblock/96a/k0389_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/079/k0389_vinty_ustanovka.jpg;https://alterv.ru/upload/iblock/1d5/Z07119.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/gorizontalnye_prizhimy/k0660_prizhimy_mekhanicheskie_s_gorizontalnym_osnovaniem/"">K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</a></li>
</ul>";K0389.110X619;;;;;M10;;Под заказ;809,98;6,5;61,9;;;5;;;;;;;;;Делрин;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem_table_1.png"" style=""width: 444px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты подходят для:</span></h2>
<ul>
	<li>K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</li>
</ul></span>"
K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/catalog/vinty_nazhimnye/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/upload/iblock/96a/k0389_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/079/k0389_vinty_ustanovka.jpg;https://alterv.ru/upload/iblock/1d5/Z07119.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/gorizontalnye_prizhimy/k0660_prizhimy_mekhanicheskie_s_gorizontalnym_osnovaniem/"">K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</a></li>
</ul>";K0389.110X819;;;;;M10;;Под заказ;819,23;6,5;81,9;;;5;;;;;;;;;Делрин;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem_table_1.png"" style=""width: 444px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты подходят для:</span></h2>
<ul>
	<li>K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</li>
</ul></span>"
K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/catalog/vinty_nazhimnye/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/upload/iblock/96a/k0389_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/079/k0389_vinty_ustanovka.jpg;https://alterv.ru/upload/iblock/1d5/Z07119.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/gorizontalnye_prizhimy/k0660_prizhimy_mekhanicheskie_s_gorizontalnym_osnovaniem/"">K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</a></li>
</ul>";K0389.112X221;;;;;M12;;Под заказ;444,33;8;22,1;;;6;;;;;;;;;Делрин;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem_table_1.png"" style=""width: 444px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты подходят для:</span></h2>
<ul>
	<li>K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</li>
</ul></span>"
K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/catalog/vinty_nazhimnye/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/upload/iblock/96a/k0389_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/079/k0389_vinty_ustanovka.jpg;https://alterv.ru/upload/iblock/1d5/Z07119.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/gorizontalnye_prizhimy/k0660_prizhimy_mekhanicheskie_s_gorizontalnym_osnovaniem/"">K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</a></li>
</ul>";K0389.112X271;;;;;M12;;Под заказ;453,59;8;27,1;;;6;;;;;;;;;Делрин;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem_table_1.png"" style=""width: 444px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты подходят для:</span></h2>
<ul>
	<li>K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</li>
</ul></span>"
K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/catalog/vinty_nazhimnye/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/upload/iblock/96a/k0389_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/079/k0389_vinty_ustanovka.jpg;https://alterv.ru/upload/iblock/1d5/Z07119.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/gorizontalnye_prizhimy/k0660_prizhimy_mekhanicheskie_s_gorizontalnym_osnovaniem/"">K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</a></li>
</ul>";K0389.112X341;;;;;M12;;Под заказ;499,87;8;34,1;;;6;;;;;;;;;Делрин;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem_table_1.png"" style=""width: 444px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты подходят для:</span></h2>
<ul>
	<li>K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</li>
</ul></span>"
K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/catalog/vinty_nazhimnye/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/upload/iblock/96a/k0389_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/079/k0389_vinty_ustanovka.jpg;https://alterv.ru/upload/iblock/1d5/Z07119.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/gorizontalnye_prizhimy/k0660_prizhimy_mekhanicheskie_s_gorizontalnym_osnovaniem/"">K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</a></li>
</ul>";K0389.112X421;;;;;M12;;Под заказ;560,05;8;42,1;;;6;;;;;;;;;Делрин;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem_table_1.png"" style=""width: 444px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты подходят для:</span></h2>
<ul>
	<li>K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</li>
</ul></span>"
K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/catalog/vinty_nazhimnye/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/upload/iblock/96a/k0389_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/079/k0389_vinty_ustanovka.jpg;https://alterv.ru/upload/iblock/1d5/Z07119.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/gorizontalnye_prizhimy/k0660_prizhimy_mekhanicheskie_s_gorizontalnym_osnovaniem/"">K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</a></li>
</ul>";K0389.112X521;;;;;M12;;Под заказ;643,35;8;52,1;;;6;;;;;;;;;Делрин;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem_table_1.png"" style=""width: 444px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты подходят для:</span></h2>
<ul>
	<li>K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</li>
</ul></span>"
K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/catalog/vinty_nazhimnye/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/upload/iblock/96a/k0389_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/079/k0389_vinty_ustanovka.jpg;https://alterv.ru/upload/iblock/1d5/Z07119.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/gorizontalnye_prizhimy/k0660_prizhimy_mekhanicheskie_s_gorizontalnym_osnovaniem/"">K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</a></li>
</ul>";K0389.112X621;;;;;M12;;Под заказ;828,47;8;62,1;;;6;;;;;;;;;Делрин;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem_table_1.png"" style=""width: 444px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты подходят для:</span></h2>
<ul>
	<li>K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</li>
</ul></span>"
K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/catalog/vinty_nazhimnye/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0389 Винты нажимные с шестигранным углублением;https://alterv.ru/upload/iblock/96a/k0389_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/079/k0389_vinty_ustanovka.jpg;https://alterv.ru/upload/iblock/1d5/Z07119.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/gorizontalnye_prizhimy/k0660_prizhimy_mekhanicheskie_s_gorizontalnym_osnovaniem/"">K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</a></li>
</ul>";K0389.112X821;;;;;M12;;Под заказ;847;8;82,1;;;6;;;;;;;;;Делрин;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0389_vinty_nazhimnye_s_shestigrannym_uglubleniem_table_1.png"" style=""width: 444px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали с коэффициентом прочности 10.9.</li>
	<li>Вставка (на выбор): из латуни или из делрина.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус вороненный.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты хорошо подходят для щадящего зажима или фиксации винторезных шпинделей, осей, валов и деталей с обработанной поверхностью.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты подходят для:</span></h2>
<ul>
	<li>K0660 Механических прижимов с горизонтальным основанием с M=M8x45.</li>
</ul></span>"
